     1→آذربایجان شرقی  کشکسرای
     2→آذربایجان شرقی  سهند
     3→آذربایجان شرقی  سیس
     4→آذربایجان شرقی  دوزدوزان
     5→آذربایجان شرقی  تیمورلو
     6→آذربایجان شرقی  صوفیان
     7→آذربایجان شرقی  سردرود
     8→آذربایجان شرقی  هادیشهر
     9→آذربایجان شرقی  هشترود
    10→آذربایجان شرقی  زرنق
    11→آذربایجان شرقی  ترکمانچای
    12→آذربایجان شرقی  ورزقان
    13→آذربایجان شرقی  تسوج
    14→آذربایجان شرقی  زنوز
    15→آذربایجان شرقی  ایلخچی
    16→آذربایجان شرقی  شرفخانه
    17→آذربایجان شرقی  مهربان
    18→آذربایجان شرقی  مبارک شهر
    19→آذربایجان شرقی  تیکمه داش
    20→آذربایجان شرقی  باسمنج
    21→آذربایجان شرقی  سیه رود
    22→آذربایجان شرقی  میانه
    23→آذربایجان شرقی  خمارلو
    24→آذربایجان شرقی  خواجه
    25→آذربایجان شرقی  بناب مرند
    26→آذربایجان شرقی  قره آغاج
    27→آذربایجان شرقی  وایقان
    28→آذربایجان شرقی  مراغه
    29→آذربایجان شرقی  ممقان
    30→آذربایجان شرقی  خامنه
    31→آذربایجان شرقی  خسروشاه
    32→آذربایجان شرقی  لیلان
    33→آذربایجان شرقی  نظرکهریزی
    34→آذربایجان شرقی  اهر
    35→آذربایجان شرقی  بخشایش
    36→آذربایجان شرقی  آقکند
    37→آذربایجان شرقی  جوان قلعه
    38→آذربایجان شرقی  کلیبر
    39→آذربایجان شرقی  مرند
    40→آذربایجان شرقی  اسکو
    41→آذربایجان شرقی  شندآباد
    42→آذربایجان شرقی  شربیان
    43→آذربایجان شرقی  گوگان
    44→آذربایجان شرقی  بستان آباد
    45→آذربایجان شرقی  تبریز
    46→آذربایجان شرقی  جلفا
    47→آذربایجان شرقی  اچاچی
    48→آذربایجان شرقی  هریس
    49→آذربایجان شرقی  یامچی
    50→آذربایجان شرقی  خاروانا
    51→آذربایجان شرقی  کوزه کنان
    52→آذربایجان شرقی  خداجو(خراجو)
    53→آذربایجان شرقی  آذرشهر
    54→آذربایجان شرقی  شبستر
    55→آذربایجان شرقی  سراب
    56→آذربایجان شرقی  ملکان
    57→آذربایجان شرقی  بناب
    58→آذربایجان شرقی  هوراند
    59→آذربایجان شرقی  کلوانق
    60→آذربایجان شرقی  ترک
    61→آذربایجان شرقی  عجب شیر
    62→آذربایجان شرقی  آبش احمد
    63→آذربایجان غربی  تازه شهر
    64→آذربایجان غربی  نالوس
    65→آذربایجان غربی  ایواوغلی
    66→آذربایجان غربی  شاهین دژ
    67→آذربایجان غربی  گردکشانه
    68→آذربایجان غربی  باروق
    69→آذربایجان غربی  سیلوانه
    70→آذربایجان غربی  بازرگان
    71→آذربایجان غربی  نازک علیا
    72→آذربایجان غربی  ربط
    73→آذربایجان غربی  تکاب
    74→آذربایجان غربی  دیزج دیز
    75→آذربایجان غربی  سیمینه
    76→آذربایجان غربی  نوشین
    77→آذربایجان غربی  میاندوآب
    78→آذربایجان غربی  مرگنلر
    79→آذربایجان غربی  سلماس
    80→آذربایجان غربی  آواجیق
    81→آذربایجان غربی  قطور
    82→آذربایجان غربی  محمودآباد
    83→آذربایجان غربی  خوی
    84→آذربایجان غربی  نقده
    85→آذربایجان غربی  سرو
    86→آذربایجان غربی  خلیفان
    87→آذربایجان غربی  پلدشت
    88→آذربایجان غربی  میرآباد
    89→آذربایجان غربی  اشنویه
    90→آذربایجان غربی  زرآباد
    91→آذربایجان غربی  بوکان
    92→آذربایجان غربی  پیرانشهر
    93→آذربایجان غربی  چهاربرج
    94→آذربایجان غربی  قوشچی
    95→آذربایجان غربی  شوط
    96→آذربایجان غربی  ماکو
    97→آذربایجان غربی  سیه چشمه
    98→آذربایجان غربی  سردشت
    99→آذربایجان غربی  کشاورز
   100→آذربایجان غربی  فیرورق
   101→آذربایجان غربی  محمدیار
   102→آذربایجان غربی  ارومیه
   103→آذربایجان غربی  مهاباد
   104→آذربایجان غربی  قره ضیاءالدین
   105→اردبیل  پارس آباد
   106→اردبیل  فخراباد
   107→اردبیل  کلور
   108→اردبیل  نیر
   109→اردبیل  اردبیل
   110→اردبیل  اسلام اباد
   111→اردبیل  تازه کندانگوت
   112→اردبیل  مشگین شهر
   113→اردبیل  جعفرآباد
   114→اردبیل  نمین
   115→اردبیل  اصلاندوز
   116→اردبیل  مرادلو
   117→اردبیل  خلخال
   118→اردبیل  کوراییم
   119→اردبیل  هیر
   120→اردبیل  گیوی
   121→اردبیل  گرمی
   122→اردبیل  لاهرود
   123→اردبیل  هشتجین
   124→اردبیل  عنبران
   125→اردبیل  تازه کند
   126→اردبیل  قصابه
   127→اردبیل  رضی
   128→اردبیل  سرعین
   129→اردبیل  بیله سوار
   130→اردبیل  آبی بیگلو
   131→اصفهان  گزبرخوار
   132→اصفهان  زیار
   133→اصفهان  زرین شهر
   134→اصفهان  گلشن
   135→اصفهان  پیربکران
   136→اصفهان  خالدآباد
   137→اصفهان  سجزی
   138→اصفهان  گوگد
   139→اصفهان  تیران
   140→اصفهان  ونک
   141→اصفهان  دهق
   142→اصفهان  زواره
   143→اصفهان  کاشان
   144→اصفهان  ابوزیدآباد
   145→اصفهان  اصغرآباد
   146→اصفهان  بافران
   147→اصفهان  شهرضا
   148→اصفهان  خور
   149→اصفهان  مجلسی
   150→اصفهان  هرند
   151→اصفهان  فولادشهر
   152→اصفهان  کمشچه
   153→اصفهان  کلیشادوسودرجان
   154→اصفهان  لای بید
   155→اصفهان  قهجاورستان
   156→اصفهان  چرمهین
   157→اصفهان  رزوه
   158→اصفهان  فریدونشهر
   159→اصفهان  طرق رود
   160→اصفهان  نصرآباد
   161→اصفهان  برزک
   162→اصفهان  سفیدشهر
   163→اصفهان  سمیرم
   164→اصفهان  گلدشت
   165→اصفهان  اردستان
   166→اصفهان  جوشقان قالی
   167→اصفهان  بویین ومیاندشت
   168→اصفهان  کرکوند
   169→اصفهان  درچه
   170→اصفهان  انارک
   171→اصفهان  دولت آباد
   172→اصفهان  ایمانشهر
   173→اصفهان  گرگاب
   174→اصفهان  حسن اباد
   175→اصفهان  سده لنجان
   176→اصفهان  حبیب آباد
   177→اصفهان  بهاران شهر
   178→اصفهان  میمه
   179→اصفهان  تودشک
   180→اصفهان  گلشهر
   181→اصفهان  رضوانشهر
   182→اصفهان  داران
   183→اصفهان  علویجه
   184→اصفهان  نیک آباد
   185→اصفهان  مشکات
   186→اصفهان  آران وبیدگل
   187→اصفهان  خوانسار
   188→اصفهان  نجف آباد
   189→اصفهان  منظریه
   190→اصفهان  فرخی
   191→اصفهان  دیزیچه
   192→اصفهان  اژیه
   193→اصفهان  زاینده رود
   194→اصفهان  خورزوق
   195→اصفهان  قهدریجان
   196→اصفهان  شاهین شهر
   197→اصفهان  بهارستان
   198→اصفهان  چمگردان
   199→اصفهان  دهاقان
   200→اصفهان  برف انبار
   201→اصفهان  بادرود
   202→اصفهان  کوهپایه
   203→اصفهان  گلپایگان
   204→اصفهان  عسگران
   205→اصفهان  حنا
   206→اصفهان  کهریزسنگ
   207→اصفهان  مهاباد
   208→اصفهان  کامو و چوگان
   209→اصفهان  افوس
   210→اصفهان  زیباشهر
   211→اصفهان  کوشک
   212→اصفهان  نایین
   213→اصفهان  سین
   214→اصفهان  زازران
   215→اصفهان  مبارکه
   216→اصفهان  ورزنه
   217→اصفهان  ورنامخواست
   218→اصفهان  شاپورآباد
   219→اصفهان  فلاورجان
   220→اصفهان  وزوان
   221→اصفهان  اصفهان
   222→اصفهان  باغ بهادران
   223→اصفهان  چادگان
   224→اصفهان  دامنه
   225→اصفهان  نطنز
   226→اصفهان  محمدآباد
   227→اصفهان  نیاسر
   228→اصفهان  نوش آباد
   229→اصفهان  کمه
   230→اصفهان  جوزدان
   231→اصفهان  قمصر
   232→اصفهان  جندق
   233→اصفهان  طالخونچه
   234→اصفهان  خمینی شهر
   235→اصفهان  باغشاد
   236→اصفهان  دستگرد
   237→اصفهان  ابریشم
   238→البرز   چهارباغ
   239→البرز   آسارا
   240→البرز   کرج
   241→البرز   طالقان
   242→البرز   شهرجدیدهشتگرد
   243→البرز   محمدشهر
   244→البرز   مشکین دشت
   245→البرز   نظرآباد
   246→البرز   هشتگرد
   247→البرز   ماهدشت
   248→البرز   اشتهارد
   249→البرز   کوهسار
   250→البرز   گرمدره
   251→البرز   تنکمان
   252→البرز   گلسار
   253→البرز   کمال شهر
   254→البرز   فردیس
   255→ایلام   آبدانان
   256→ایلام   شباب
   257→ایلام   موسیان
   258→ایلام   بدره
   259→ایلام   ایلام
   260→ایلام   ایوان
   261→ایلام   مهران
   262→ایلام   آسمان آباد
   263→ایلام   پهله
   264→ایلام   مهر
   265→ایلام   سراب باغ
   266→ایلام   بلاوه
   267→ایلام   میمه
   268→ایلام   دره شهر
   269→ایلام   ارکواز
   270→ایلام   مورموری
   271→ایلام   توحید
   272→ایلام   دهلران
   273→ایلام   لومار
